"","pT","pFP","pTs","pFPs","TO","beta","q","X1","X2","X4","pC","pRI","TR"
"30",0.417678678274052,0.000201519827932011,0.52931429772096,0.000331556805903281,0.00265990374110709,0.0100248997819857,0.502809968596441,9.79847185543152e-06,7.01404473852291e-06,2.02309243900949e-06,0.208733814821861,0.0293324058734332,0.334841075320575
"31",0.343237625094417,9.67845477916754e-06,0.447688299287722,0.000155911864620171,0.0134050486561129,0.00747075769803834,0.793439470468255,1.16613948747787e-05,3.6836338866651e-06,6.3344163304645e-07,0.20359977711395,0.0277732660566812,0.189591578067322
"32",0.398469438226622,1.87052245930106e-05,0.644469999442163,5.14344621226174e-05,0.268044378454851,0.010321460142466,0.906369141910061,1.13500666246009e-05,4.72023096659469e-06,1.91818550891893e-06,0.213902350131044,0.0229641632712885,0.246070709751582
"33",0.37145631327615,8.79691298490334e-05,0.604851033577759,0.000130650986858975,0.15127335628352,0.0135314348103188,0.751377535369623,8.18943555643083e-06,6.28229848881739e-06,1.03684257886426e-06,0.26941008243081,0.0228691340620705,0.91772265165818
"34",0.389771954621926,7.45134913278938e-05,0.538548301519286,0.000753686304612845,0.00445381410250832,0.00840902197833246,0.397874425933398,1.12496030841341e-05,5.35442943066884e-06,1.68887497238994e-06,0.250941056426808,0.0426190035631665,0.448539246729459
"35",0.421588037085945,1.56766181419579e-05,0.609425330162425,8.88741978730856e-05,0.0666742159370759,0.0122412155479979,0.645795802249806,9.73890017587844e-06,6.00928207885379e-06,2.99940377304182e-06,0.243974483756323,0.0306407197134465,1.34500929726051
"36",0.369365322576438,2.93068520560208e-05,0.54728798676175,5.13862703280325e-05,0.20895261201196,0.00814501931614097,0.64873811579014,1.05313922189708e-05,8.27162783077159e-06,2.29674892810398e-06,0.206046125680279,0.0266492153689644,0.208257643189683
"37",0.441687511935571,5.34607916105413e-06,0.575167011444995,0.000445203121841556,0.0310240660279511,0.0090419530203866,0.912689195369345,9.71878700317553e-06,6.93768191794259e-06,2.47793912025574e-06,0.193540438148356,0.0384482671427636,0.224502833875423
"38",0.475194451056206,7.39783298807914e-05,0.557189032954238,0.00014757885763362,0.0479816744187897,0.00877816489705702,0.219148383459868,7.11404699357397e-06,5.58314134269516e-06,3.3472361049247e-06,0.239306194860445,0.0340009063681649,0.546527254754982
"39",0.393570233988496,3.28420478326835e-06,0.520636277370603,3.13588829763614e-05,0.0533279915594331,0.0103910685391326,0.326824574281913,8.0185232809213e-06,8.71557124726897e-06,2.61288858710611e-06,0.246309371234698,0.0279070963162656,0.385050388624395
"40",0.34315528087219,1.55406535537016e-06,0.597859524211613,0.000257624620467501,0.0120129974853535,0.00833677756331313,0.2120886934289,1.31536207228138e-05,6.77366279965549e-06,2.46862821460236e-06,0.251482635391099,0.0210530910915196,0.600922844531129
"41",0.451964348750621,3.5517431410694e-05,0.551607772443945,0.000490190863626223,0.169581659794387,0.0130293592652999,0.881864916913421,8.22076929732989e-06,8.41972346914814e-06,2.61655428952391e-06,0.22352781915199,0.0426591629637734,0.302170604781297
"42",0.508532416654203,6.69004035361168e-05,0.549139911642504,0.000236773480085133,0.0303609002264318,0.00874554549021092,0.505752839713744,1.05119547932013e-05,5.97310510976497e-06,1.76573560394207e-06,0.302041193565863,0.0349553690703788,0.0139798455361301
"43",0.643836434693126,0.000131593730370962,0.697578563818157,0.00128986191887898,0.225321063300994,0.00947605186731162,0.405206996444194,6.89063076296829e-06,8.71924179596651e-06,2.01948245684695e-06,0.231490244339585,0.0463479069773934,0.0423057302270591
"44",0.49568843120219,2.28309118608435e-05,0.766812603806531,9.20645689749465e-05,0.215999197796723,0.0100776502073373,0.229275011305623,1.14334378613969e-05,5.4308404457346e-06,1.42592808440144e-06,0.23896520005841,0.0271905547471144,0.105773324484536
"45",0.402483954586104,5.72602329535212e-05,0.509693586763216,0.000141654161650836,0.109187983340726,0.0136087363737165,0.615128135003357,1.00716297210177e-05,5.47046465493278e-06,1.30391370102647e-06,0.289890866858924,0.0249013064958005,0.849279789868824
